🕘️更新时间,#genre#
2026-01-29 01:17:19,http://192.168.2.100:8080/hls/-7308662218558041105.m3u8

📺央视频道,#genre#
CCTV-1,http://192.168.2.100:8080/hls/-7308662218558041105.m3u8
CCTV-1,http://192.168.2.100:8080/hls/-6263733052577331025.m3u8
CCTV-1,http://192.168.2.100:8080/hls/8947806457849505256.m3u8
CCTV-1,http://192.168.2.100:8080/hls/-8290396645866903833.m3u8
CCTV-1,http://192.168.2.100:8080/hls/-5516108813635618821.m3u8
CCTV-2,http://192.168.2.100:8080/hls/6443857396001677303.m3u8
CCTV-3,http://192.168.2.100:8080/hls/-8313396180751859906.m3u8
CCTV-3,http://192.168.2.100:8080/hls/-7682682062276002578.m3u8
CCTV-3,http://192.168.2.100:8080/hls/8203812452386000377.m3u8
CCTV-5,http://192.168.2.100:8080/hls/-2737733400535141847.m3u8
CCTV-7,http://192.168.2.100:8080/hls/-845702816058871218.m3u8
CCTV-13,http://192.168.2.100:8080/hls/8812863043061401668.m3u8
CCTV-13,http://192.168.2.100:8080/hls/-6433935071896085470.m3u8
CCTV-13,http://192.168.2.100:8080/hls/1736064012028379361.m3u8
CCTV-13,http://192.168.2.100:8080/hls/7874749945110295418.m3u8
CCTV-13,http://192.168.2.100:8080/hls/-6057122586057397016.m3u8
CCTV-13,http://192.168.2.100:8080/hls/-2986842656289447400.m3u8
CCTV-13,http://192.168.2.100:8080/hls/-2044778650724318078.m3u8
CCTV-14,http://192.168.2.100:8080/hls/-4495236289635502466.m3u8
CCTV-14,http://192.168.2.100:8080/hls/-3826622352272125551.m3u8
CCTV-14,http://192.168.2.100:8080/hls/4970028089630302039.m3u8
CCTV-14,http://192.168.2.100:8080/hls/-4494511119427575890.m3u8
CCTV-14,http://192.168.2.100:8080/hls/23028864439948040.m3u8
CCTV-14,http://192.168.2.100:8080/hls/-5415764896748212847.m3u8
CETV-4,http://192.168.2.100:8080/hls/1977164641646984018.m3u8
CETV-4,http://192.168.2.100:8080/hls/-8732073986143939268.m3u8

💰央视付费频道,#genre#
风云足球,http://192.168.2.100:8080/hls/2483246204135310717.m3u8

📡卫视频道,#genre#
广东卫视,http://192.168.2.100:8080/hls/-208889571725179932.m3u8
广东卫视,http://192.168.2.100:8080/hls/1347669812398910915.m3u8
广东卫视,http://192.168.2.100:8080/hls/-8721431946271774585.m3u8
广东卫视,http://192.168.2.100:8080/hls/6093341637210262818.m3u8
广东卫视,http://192.168.2.100:8080/hls/-2815864046227961341.m3u8
浙江卫视,http://192.168.2.100:8080/hls/5977839314787649560.m3u8
浙江卫视,http://192.168.2.100:8080/hls/1886972677845147703.m3u8
浙江卫视,http://192.168.2.100:8080/hls/3100138524367512893.m3u8
浙江卫视,http://192.168.2.100:8080/hls/5377483670093868796.m3u8
